Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2023;36;217378;32.0;-5.56;-5.64;0.08;19.74670849856011;36.441130197168064;7.000000000000001;14.6
2023;15;144123;25.0;-2.34;-6.950000000000001;4.61;18.98309083213644;36.56113181102253;4.1000000000000005;13.2
2023;77;1436079;243.0;7.3;8.07;-0.77;27.173226542550932;20.97530846144258;6.6000000000000005;11.7
2023;2;526983;72.0;-2.65;0.5499999999999999;-3.19;24.507242169102227;28.10735830188071;10.299999999999999;18.0
2023;6;1102251;256.0;1.94;0.06;1.8800000000000001;21.03958172866253;31.31392033212036;7.199999999999999;16.2
2023;26;519421;80.0;6.4399999999999995;2.13;4.31;23.75471919695199;29.163241378380928;7.7;14.4
2023;42;769112;161.0;2.68;1.55;1.13;24.172682262141272;28.962101748509973;7.1;15.0
2023;66;485651;118.0;7.32;-2.32;9.64;21.535423586073126;33.49154022127001;11.700000000000001;20.7
2023;35;1099074;162.0;10.299999999999999;4.22;6.08;24.907149109159164;24.15897382705805;5.4;10.7
2023;37;614119;100.0;3.44;1.43;2.01;23.030227040687553;28.501479354978432;6.3;12.4
2023;87;371487;67.0;-1.22;-1.77;0.5599999999999999;21.00558027602581;32.24608128952022;6.3;15.3
2023;55;181165;29.0;-6.4;-1.63;-4.77;22.146109899815087;31.188143405183123;7.3;14.2
2023;68;767636;218.0;1.94;2.17;-0.24;22.95775601978021;27.238039904329657;6.800000000000001;13.2
2023;69;1895426;583.0;8.67;7.9799999999999995;0.69;25.152076630794344;22.352442142294134;6.2;14.1
2023;14;698670;126.0;1.96;0.6;1.3599999999999999;23.28882018692659;29.00582535388667;6.3;11.9
2023;71;549467;64.0;-1.17;-2.59;1.41;21.480634869792;33.69101329106206;6.4;12.8
2023;57;1049612;169.0;0.43;0.76;-0.33999999999999997;22.222116362998896;27.496732125776003;7.000000000000001;15.3
